doi,author,title,pub_date,journal,country,iso_3,region,y_coordinate,x_coordinate,sampling_start_year,sampling_end_year,species,pathogen,species_2,strain,control_strain,sample_type,sal_prevalence,no_sample,no_isolate,antimicrobial,antimicrobial_compound,antibiotic_class,who_classification,percent_resistant,percent_intermediate,percent_susceptible,perc_res_inc_intermediate,perc_res_excl_intermediate,ast_method,no_isolates_resistant,no_isolates_intermediate,no_isolates_susceptible,mdr_percentage,laboratory_guidelines,conc_of_a_musedforsusceptibilitytest_mg_mg_ml,susceptible_breakpoint,notes
10.1111/jam.13697,Abdeen et al.2018,Antibiogram and genetic diversity of Salmonella enterica with zoonotic potential isolated from morbid native chickens and pigeons in Egypt.,2018,Journal of applied microbiology,Egypt,EGY,Northern Africa,30.500772,30.965533,NA,NA,Chicken,Salmonella,,,,Feacal,14.3,70,12,Cefotaxime,CTX,3rd generation Cephalosporin,Critically important,NA,NA,NA,NA,NA,Disk Diffusion,12,0,0,31.3,CLSI 2014,,,
10.1111/jam.13697,Abdeen et al.2018,Antibiogram and genetic diversity of Salmonella enterica with zoonotic potential isolated from morbid native chickens and pigeons in Egypt.,2018,Journal of applied microbiology,Egypt,EGY,Northern Africa,30.500772,30.965533,NA,NA,Chicken,Salmonella,,,,Feacal,14.3,70,12,Streptomycin,STR,Aminoglycosides,Critically important,NA,NA,NA,NA,NA,Disk Diffusion,8,0,4,31.3,CLSI 2014,,,
10.1111/jam.13697,Abdeen et al.2018,Antibiogram and genetic diversity of Salmonella enterica with zoonotic potential isolated from morbid native chickens and pigeons in Egypt.,2018,Journal of applied microbiology,Egypt,EGY,Northern Africa,30.500772,30.965533,NA,NA,Chicken,Salmonella,,,,Feacal,14.3,70,12,Neomycin,NEO,Aminoglycosides,Critically important,NA,NA,NA,NA,NA,Disk Diffusion,5,0,7,31.3,CLSI 2014,,,
10.1111/jam.13697,Abdeen et al.2018,Antibiogram and genetic diversity of Salmonella enterica with zoonotic potential isolated from morbid native chickens and pigeons in Egypt.,2018,Journal of applied microbiology,Egypt,EGY,Northern Africa,30.500772,30.965533,NA,NA,Chicken,Salmonella,,,,Feacal,14.3,70,12,Gentamycin,GEN,Aminoglycosides,Critically important,NA,NA,NA,NA,NA,Disk Diffusion,3,0,9,31.3,CLSI 2014,,,
10.1111/jam.13697,Abdeen et al.2018,Antibiogram and genetic diversity of Salmonella enterica with zoonotic potential isolated from morbid native chickens and pigeons in Egypt.,2018,Journal of applied microbiology,Egypt,EGY,Northern Africa,30.500772,30.965533,NA,NA,Chicken,Salmonella,,,,Feacal,14.3,70,12,Nalidixic acid,NAL,Fluoroquinolones,Critically important,NA,NA,NA,NA,NA,Disk Diffusion,12,0,0,31.3,CLSI 2014,,,
10.1111/jam.13697,Abdeen et al.2018,Antibiogram and genetic diversity of Salmonella enterica with zoonotic potential isolated from morbid native chickens and pigeons in Egypt.,2018,Journal of applied microbiology,Egypt,EGY,Northern Africa,30.500772,30.965533,NA,NA,Chicken,Salmonella,,,,Feacal,14.3,70,12,Ciprofloxacin,CIP,Fluoroquinolones,Critically important,NA,NA,NA,NA,NA,Disk Diffusion,11,0,1,31.3,CLSI 2014,,,
10.1111/jam.13697,Abdeen et al.2018,Antibiogram and genetic diversity of Salmonella enterica with zoonotic potential isolated from morbid native chickens and pigeons in Egypt.,2018,Journal of applied microbiology,Egypt,EGY,Northern Africa,30.500772,30.965533,NA,NA,Chicken,Salmonella,,,,Feacal,14.3,70,12,Enrofloxacin,ENR,Fluoroquinolones,Critically important,NA,NA,NA,NA,NA,Disk Diffusion,11,0,1,31.3,CLSI 2014,,,
10.1111/jam.13697,Abdeen et al.2018,Antibiogram and genetic diversity of Salmonella enterica with zoonotic potential isolated from morbid native chickens and pigeons in Egypt.,2018,Journal of applied microbiology,Egypt,EGY,Northern Africa,30.500772,30.965533,NA,NA,Chicken,Salmonella,,,,Feacal,14.3,70,12,Norfloxacin,NOR,Fluoroquinolones,Critically important,NA,NA,NA,NA,NA,Disk Diffusion,11,0,1,31.3,CLSI 2014,,,
10.1111/jam.13697,Abdeen et al.2018,Antibiogram and genetic diversity of Salmonella enterica with zoonotic potential isolated from morbid native chickens and pigeons in Egypt.,2018,Journal of applied microbiology,Egypt,EGY,Northern Africa,30.500772,30.965533,NA,NA,Chicken,Salmonella,,,,Feacal,14.3,70,12,Ofloxacin,OFX,Fluoroquinolones,Critically important,NA,NA,NA,NA,NA,Disk Diffusion,10,0,2,31.3,CLSI 2014,,,
10.1111/jam.13697,Abdeen et al.2018,Antibiogram and genetic diversity of Salmonella enterica with zoonotic potential isolated from morbid native chickens and pigeons in Egypt.,2018,Journal of applied microbiology,Egypt,EGY,Northern Africa,30.500772,30.965533,NA,NA,Chicken,Salmonella,,,,Feacal,14.3,70,12,Erythromycin,ERY,Macrolides,Critically important,NA,NA,NA,NA,NA,Disk Diffusion,12,0,0,31.3,CLSI 2014,,,
